repository_path,line,kind,excerpt
01_simulation/02_generation/training/4v_1c/4_模拟数据2_生存数据_V4.R,18,local_absolute_path,"out_dir <- ""F:/文章/大论文/程序Trae/模拟数据_4V/协变量"""
01_simulation/02_generation/training/4v_1c/4_模拟数据2_生存数据_V4.R,23,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_500_low_c1_L1.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据2_生存数据_V4.R,27,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_500_low_c1_L2.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据2_生存数据_V4.R,31,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_500_low_c1_L3.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据2_生存数据_V4.R,35,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_500_low_c1_L4.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据2_生存数据_V4.R,39,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_500_low_c1_L5.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据2_生存数据_V4.R,43,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_1000_low_c1_L1.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据2_生存数据_V4.R,47,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_1000_low_c1_L2.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据2_生存数据_V4.R,51,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_1000_low_c1_L3.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据2_生存数据_V4.R,55,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_1000_low_c1_L4.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据2_生存数据_V4.R,59,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_1000_low_c1_L5.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据2_生存数据_V4.R,64,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_500_medium_c1_L1.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据2_生存数据_V4.R,68,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_500_medium_c1_L2.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据2_生存数据_V4.R,72,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_500_medium_c1_L3.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据2_生存数据_V4.R,76,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_500_medium_c1_L4.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据2_生存数据_V4.R,80,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_500_medium_c1_L5.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据2_生存数据_V4.R,84,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_1000_medium_c1_L1.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据2_生存数据_V4.R,88,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_1000_medium_c1_L2.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据2_生存数据_V4.R,92,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_1000_medium_c1_L3.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据2_生存数据_V4.R,96,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_1000_medium_c1_L4.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据2_生存数据_V4.R,100,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_1000_medium_c1_L5.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据2_生存数据_V4.R,105,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_500_high_c1_L1.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据2_生存数据_V4.R,109,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_500_high_c1_L2.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据2_生存数据_V4.R,113,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_500_high_c1_L3.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据2_生存数据_V4.R,117,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_500_high_c1_L4.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据2_生存数据_V4.R,121,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_500_high_c1_L5.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据2_生存数据_V4.R,125,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_1000_high_c1_L1.xlsx""), sheet = .x))"
